Sentence Index,Sentence,Incorrect Sentence
270,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
270,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
271,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
272,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
272,তেওঁ খোৱা ধনিয়া পানীত।,আপুনি খোৱা ধনিয়া পানীত।
273,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
273,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
273,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
274,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
275,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
276,তেওঁ খোৱা ধনিয়া পানীত।,মই খোৱা ধনিয়া পানীত।
276,তেওঁ খোৱা ধনিয়া পানীত।,তুমি খোৱা ধনিয়া পানীত।
276,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
277,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
278,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
279,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
280,তেওঁ খোৱা ধনিয়া পানীত।,তুমি খোৱা ধনিয়া পানীত।
280,তেওঁ খোৱা ধনিয়া পানীত।,আপুনি খোৱা ধনিয়া পানীত।
280,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
280,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
281,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
281,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
281,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
282,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
283,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
284,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
285,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
286,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
287,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
288,তেওঁ খোৱা ধনিয়া পানীত।,মই খোৱা ধনিয়া পানীত।
288,তেওঁ খোৱা ধনিয়া পানীত।,আপুনি খোৱা ধনিয়া পানীত।
288,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
289,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
290,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
290,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
290,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
291,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
292,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
293,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
294,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
295,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
296,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
297,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
297,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
297,মই বিয়লি চাহ খাব।,তেওঁ বিয়লি চাহ খাব।
297,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
298,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
299,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
300,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
301,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
301,তুমি কি বিদ্যালয়লৈ যাও?,মই কি বিদ্যালয়লৈ যাও?
301,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁ কি বিদ্যালয়লৈ যাও?
302,তেওঁ খোৱা ধনিয়া পানীত।,মই খোৱা ধনিয়া পানীত।
302,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
302,তেওঁ খোৱা ধনিয়া পানীত।,তুমি খোৱা ধনিয়া পানীত।
303,তেওঁ খোৱা ধনিয়া পানীত।,মই খোৱা ধনিয়া পানীত।
303,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
304,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
305,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
306,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
307,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
308,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
309,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
310,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
311,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
312,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
313,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
313,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
314,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
315,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
316,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
317,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
318,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
319,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
320,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁ কি বিদ্যালয়লৈ যাও?
320,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
320,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
321,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
322,মই বিয়লি চাহ খাব।,তেওঁ বিয়লি চাহ খাব।
322,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
322,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
322,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
323,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
324,মই বিয়লি চাহ খাব।,তেওঁ বিয়লি চাহ খাব।
324,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
324,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
325,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
326,তুমি কি বিদ্যালয়লৈ যাও?,মই কি বিদ্যালয়লৈ যাও?
326,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
326,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
327,তেওঁ খোৱা ধনিয়া পানীত।,আপুনি খোৱা ধনিয়া পানীত।
327,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
327,তেওঁ খোৱা ধনিয়া পানীত।,তুমি খোৱা ধনিয়া পানীত।
328,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
329,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
330,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
331,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
332,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
333,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
333,তুমি কি বিদ্যালয়লৈ যাও?,মই কি বিদ্যালয়লৈ যাও?
333,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
334,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
334,তেওঁ খোৱা ধনিয়া পানীত।,আপুনি খোৱা ধনিয়া পানীত।
334,তেওঁ খোৱা ধনিয়া পানীত।,তুমি খোৱা ধনিয়া পানীত।
335,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
336,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
337,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
338,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
338,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
338,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
339,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
340,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
340,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
340,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
341,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
342,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
343,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
344,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
345,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
346,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
347,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
348,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
349,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
350,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
350,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
350,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
351,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
352,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
352,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
352,তুমি কি বিদ্যালয়লৈ যাও?,মই কি বিদ্যালয়লৈ যাও?
353,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
353,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁ কি বিদ্যালয়লৈ যাও?
353,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
354,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
355,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
356,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
357,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
358,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
359,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
360,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
361,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
362,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
362,তেওঁ খোৱা ধনিয়া পানীত।,মই খোৱা ধনিয়া পানীত।
362,তেওঁ খোৱা ধনিয়া পানীত।,আপুনি খোৱা ধনিয়া পানীত।
363,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
363,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
363,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
363,তুমি কি বিদ্যালয়লৈ যাও?,মই কি বিদ্যালয়লৈ যাও?
364,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
365,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
366,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
367,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁ কি বিদ্যালয়লৈ যাও?
367,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
367,তুমি কি বিদ্যালয়লৈ যাও?,মই কি বিদ্যালয়লৈ যাও?
368,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
369,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
370,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
371,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
371,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
372,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
373,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
374,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
374,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
375,তেওঁ খোৱা ধনিয়া পানীত।,তুমি খোৱা ধনিয়া পানীত।
375,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
375,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
376,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
377,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
377,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
378,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
379,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
380,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
381,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
381,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁ কি বিদ্যালয়লৈ যাও?
381,তুমি কি বিদ্যালয়লৈ যাও?,মই কি বিদ্যালয়লৈ যাও?
382,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
383,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
384,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
384,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
384,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
384,মই বিয়লি চাহ খাব।,তেওঁ বিয়লি চাহ খাব।
385,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
386,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
386,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
386,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
387,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
388,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
389,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁ কি বিদ্যালয়লৈ যাও?
389,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
390,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
390,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
390,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
390,মই বিয়লি চাহ খাব।,তেওঁ বিয়লি চাহ খাব।
391,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
392,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
392,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
393,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
393,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
393,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
393,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
394,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
395,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
396,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
397,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
397,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
398,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
399,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
400,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
401,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
402,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
403,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
403,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
404,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
405,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
406,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
407,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
408,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
408,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁ কি বিদ্যালয়লৈ যাও?
408,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
409,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
410,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
411,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
412,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
413,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
413,তেওঁ খোৱা ধনিয়া পানীত।,তুমি খোৱা ধনিয়া পানীত।
413,তেওঁ খোৱা ধনিয়া পানীত।,আপুনি খোৱা ধনিয়া পানীত।
414,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁ কি বিদ্যালয়লৈ যাও?
414,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
